startframe	starttime	endframe	endtime
10839	452.076	10850	452.535
10851	452.577	10882	453.87
10883	453.911	10925	455.663
10926	455.705	11140	464.63
11141	464.672	11216	467.8
11217	467.842	11306	471.554
11307	471.596	11334	472.722
11335	472.763	11338	472.889
11339	472.93	11361	473.848
11362	473.89	11373	474.348
11374	474.39	11409	475.85
11410	475.892	11456	477.81
11457	477.852	11481	478.853
11482	478.895	11566	482.398
11567	482.44	11694	487.737
11695	487.778	11837	493.701
11838	493.743	11889	495.87
11890	495.912	11903	496.454
11904	496.496	11910	496.746
11911	496.787	11963	498.956
11964	498.998	12028	501.667
12029	501.709	12445	519.06
12446	519.101	12541	523.064
12542	523.105	12632	526.859
12633	526.901	12911	538.496
12912	538.538	12918	538.788
12919	538.829	12978	541.29
12979	541.332	13093	546.087
13094	546.128	13245	552.426
13246	552.468	13353	556.931
13354	556.973	13362	557.306
13363	557.348	13383	558.182
13384	558.224	13413	559.433
13414	559.475	13425	559.934
13426	559.976	13493	562.77
13494	562.812	13625	568.276
13626	568.317	13710	571.821
13711	571.862	13784	574.907
13785	574.949	13911	580.204
13912	580.246	13962	582.331
13963	582.373	13970	582.665
13971	582.707	13980	583.082
13981	583.124	13998	583.833
13999	583.874	14003	584.041
14004	584.083	14016	584.584
14017	584.625	14031	585.209
14032	585.251	14047	585.876
14048	585.918	14057	586.294
14058	586.335	14070	586.836
14071	586.877	14074	587.003
14075	587.044	14089	587.628
14090	587.67	14105	588.296
14106	588.337	14123	589.046
14124	589.088	14145	589.964
14146	590.006	14198	592.174
14199	592.216	14309	596.804
14310	596.846	14462	603.185
14463	603.227	14524	605.771
14525	605.813	14634	610.359
14635	610.401	14779	616.407
14780	616.449	14936	622.955
14937	622.997	15033	627.001
15034	627.043	15568	649.315
15569	649.357	15694	654.57
15695	654.612	15782	658.24
15783	658.282	15826	660.076
15827	660.117	15861	661.535
15862	661.577	15863	661.619
15864	661.661	15875	662.119
15876	662.161	15971	666.123
15972	666.165	16072	670.336
16073	670.378	16116	672.171
16117	672.213	16122	672.421
16123	672.463	16189	675.216
16190	675.257	16395	683.808
16396	683.849	16473	687.061
16474	687.103	16546	690.106
16547	690.147	16679	695.653
16680	695.695	16818	701.45
16819	701.492	16917	705.579
16918	705.621	17569	732.773
17570	732.815	17574	732.982
17575	733.023	17583	733.357
17584	733.399	17847	744.368
17848	744.41	17853	744.618
17854	744.66	18081	754.128
